Category,Size_in_Mb,Content Rating,Ad Supported,In App Purchases,Transformed_Rating
1.9,3.4,2.2,0,0,3
2.5,8.6,2.2,0,0,5
1.9,22.0,2.2,0,0,0
2.2,20.0,2.2,0,0,0
2.4,17.0,2.2,0,0,0
1.9,23.0,2.2,0,1,3
2.2,9.1,2.3,1,0,5
2.3,0.095703125,2.2,0,0,0
2.5,2.3,2.2,1,0,3
2.3,23.0,2.2,1,0,5
2.8,7.0,2.2,0,0,5
1.7,19.0,2.2,0,0,0
2.8,4.4,2.2,0,0,0
1.4,5.9,2.2,0,0,0
1.8,5.5,2.2,0,0,0
2.5,12.0,2.2,1,1,0
2.5,7.0,2.2,1,0,4
1.3,6.3,2.2,0,0,0
1.5,3.6,2.2,0,0,0
2.4,7.6,2.2,1,0,4
2.8,10.0,2.2,1,0,5
1.9,15.0,2.2,0,0,0
3.3,21.0,2.3,1,1,4
2.2,39.0,2.2,0,0,0
2.3,7.6,2.2,1,0,0
1.9,21.0,2.2,0,0,0
1.4,3.5,2.2,0,0,0
2.6,38.0,2.5,1,1,4
2.8,15.0,2.2,0,0,5
2.7,34.0,2.2,1,1,4
1.8,31.0,2.2,0,0,5
2.8,27.0,2.2,1,0,3
2.4,9.2,2.2,1,0,0
2.5,8.5,2.2,1,0,3
2.4,3.9,2.2,1,0,4
2.1,21.0,2.2,0,0,0
1.9,7.9,2.2,0,1,4
2.0,44.0,2.3,0,0,3
1.9,46.0,2.2,0,0,0
2.2,6.9,2.2,0,0,4
2.3,12.0,2.2,0,0,0
2.4,1.5,2.2,1,0,0
2.5,35.0,2.2,1,0,0
2.5,19.0,2.2,1,0,3
2.4,8.1,2.5,1,0,5
2.2,4.9,2.2,1,0,0
2.4,23.0,2.2,1,0,0
2.5,4.6,2.2,1,0,5
2.8,3.2,2.2,0,0,5
1.7,24.0,2.2,0,0,4
2.5,33.0,2.2,1,0,5
1.9,47.0,2.2,1,0,4
2.8,3.4,2.2,1,0,4
2.2,9.9,2.2,1,0,4
2.4,15.0,2.3,0,0,0
1.9,1.0,2.2,0,0,5
2.6,41.0,2.2,0,0,0
2.8,19.0,2.2,0,0,0
2.3,34.0,2.2,0,0,0
2.4,13.0,2.2,1,0,0
1.7,18.0,2.2,0,0,4
2.3,10.0,2.2,1,1,0
1.9,15.0,2.2,0,0,4
2.5,81.0,2.3,0,1,5
2.3,5.9,2.2,1,0,4
1.9,1.6,2.2,0,0,0
1.9,54.0,2.2,0,0,0
2.2,29.0,2.2,1,0,0
2.4,7.4,2.2,1,0,0
1.7,9.9,2.2,1,0,0
2.5,9.1,2.2,0,0,4
2.7,27.0,2.2,1,0,4
1.5,2.2,2.2,0,0,0
2.8,6.1,2.2,0,0,4
2.5,1.9,2.2,1,0,4
1.9,6.6,2.2,1,0,0
1.5,26.0,2.2,0,0,0
1.9,22.0,2.2,0,0,5
2.2,5.6,2.2,1,0,5
1.5,0.4130859375,2.2,0,0,0
1.5,4.3,2.2,0,0,5
2.4,42.0,2.2,0,1,4
2.4,13.0,2.2,0,0,4
2.8,13.0,2.2,1,0,0
2.3,1.8,2.2,1,0,4
1.9,11.0,2.2,0,0,0
2.0,118.0,2.2,1,0,0
2.2,0.712890625,2.2,1,0,3
2.5,13.0,2.2,0,0,0
2.4,18.0,2.2,0,0,0
2.4,8.4,2.2,1,0,0
2.5,3.0,2.2,0,0,0
2.5,20.0,2.5,1,0,3
2.7,23.0,2.2,1,0,0
1.9,63.0,2.2,0,0,5
1.9,1.3,2.2,0,0,0
2.5,3.7,2.2,1,0,0
1.4,34.0,2.2,0,0,4
2.5,3.5,2.2,1,0,4
2.2,21.0,2.2,1,0,0
2.5,6.2,2.2,0,0,0
2.3,4.9,2.2,1,0,5
1.9,4.6,2.2,0,0,0
2.2,2.7,2.2,1,0,0
2.4,1.7,2.2,0,0,5
2.2,1.3,2.2,1,0,5
2.2,12.0,2.2,0,1,0
2.5,3.4,2.2,0,0,5
2.5,14.0,2.2,1,0,4
2.5,9.4,2.2,1,0,0
2.2,13.0,2.2,0,0,4
1.8,1.4,2.2,0,0,5
2.4,7.9,2.2,1,0,0
1.3,0.96484375,2.2,1,1,5
1.5,11.0,2.2,0,0,4
2.8,16.0,2.2,0,0,0
1.5,10.0,2.2,0,0,4
2.5,14.0,2.2,1,1,4
1.5,5.1,2.2,1,0,0
1.4,9.9,2.2,0,0,2
2.5,1.5,2.2,1,0,5
3.3,47.0,2.7,1,1,3
1.5,68.0,2.2,0,0,2
2.5,3.4,2.2,1,0,0
2.7,23.0,2.2,1,0,0
1.5,33.0,2.2,0,0,5
2.7,31.0,2.2,1,0,4
1.9,16.0,2.2,0,0,0
2.5,6.1,2.2,1,0,0
2.9,95.0,2.2,1,1,0
2.2,12.0,2.2,0,1,3
2.2,75.0,2.2,1,0,0
2.1,7.7,2.2,0,0,3
1.7,151.0,2.2,0,0,0
1.5,9.9,2.2,0,0,0
2.2,14.0,2.2,0,0,4
1.9,52.0,2.3,0,0,5
1.9,34.0,2.2,0,0,0
1.9,8.4,2.2,1,0,0
1.9,80.0,2.2,0,0,5
2.7,3.1,2.2,1,0,4
2.4,34.0,2.2,1,0,0
2.3,34.0,2.2,0,0,0
2.4,6.3,2.2,1,1,4
2.2,1.3,2.2,0,0,0
2.5,14.0,2.2,0,0,3
2.3,2.7,2.2,0,0,5
1.7,19.0,2.2,1,0,0
2.5,8.0,2.2,0,0,5
1.9,12.0,2.2,0,0,5
1.9,15.0,2.2,0,0,0
2.3,1.7,2.2,1,0,5
2.4,54.0,2.2,0,0,3
2.3,2.9,2.2,1,0,4
3.4,23.0,2.3,1,1,2
1.3,12.0,2.2,1,0,0
2.1,1.8,2.2,0,0,4
1.7,30.0,2.2,0,0,0
2.8,8.4,2.2,1,0,4
2.9,0.498046875,2.2,0,0,4
2.7,42.0,2.2,1,0,4
2.8,21.0,2.2,0,0,0
2.8,51.0,2.2,0,0,5
2.2,16.0,2.2,0,0,0
1.3,5.8,2.2,1,0,4
1.3,8.9,2.5,0,0,0
2.2,14.0,2.2,0,0,0
1.9,9.9,2.2,1,0,0
1.4,4.8,2.2,1,0,0
2.2,5.6,2.2,1,0,0
1.9,13.0,2.2,1,0,0
2.2,2.0,2.2,1,0,0
2.9,7.5,2.3,1,0,4
2.8,29.0,2.3,1,0,5
2.4,6.0,2.2,0,0,4
2.2,2.5,2.2,0,0,1
1.9,7.2,2.2,0,0,0
3.1,33.0,2.2,1,0,5
2.4,69.0,2.2,0,1,4
2.2,5.7,2.2,1,0,4
2.3,11.0,2.2,0,0,0
2.4,6.8,2.2,0,0,0
2.5,6.3,2.2,1,0,0
2.0,10.0,2.2,0,0,0
1.7,23.0,2.2,0,0,0
2.4,1.4,2.2,0,0,0
2.4,6.0,2.2,0,0,0
2.7,13.0,2.2,1,0,5
2.4,38.0,2.2,1,0,5
2.8,24.0,2.2,1,0,0
1.9,55.0,2.2,0,0,0
2.4,24.0,2.7,1,0,4
2.2,5.7,2.3,1,0,0
1.8,9.3,2.2,0,0,5
2.2,13.0,2.2,0,0,0
2.3,3.6,2.2,1,0,4
2.5,6.1,2.2,0,0,0
1.4,10.0,2.2,0,0,4
1.3,7.1,2.2,0,0,2
1.9,75.0,2.2,0,0,4
1.5,8.5,2.2,0,0,0
2.5,15.0,2.2,1,1,4
2.3,3.8,2.2,1,0,0
2.3,52.0,2.3,0,0,5
2.7,2.3,2.2,1,0,0
2.3,11.0,2.2,1,0,4
2.7,33.0,2.2,1,0,4
2.4,3.7,2.2,1,0,0
2.4,13.0,2.2,1,0,3
2.4,9.4,2.3,0,0,5
2.3,7.6,2.2,1,0,0
1.9,78.0,2.2,0,0,0
